전철역코드,전철역명,호선,외부코드
1404,탕정,1호선,P173
1714,독산,1호선,P143
1017,신이문,1호선,121
1018,석계,1호선,120
1405,배방,1호선,P174
1721,송탄,1호선,P162
1727,두정,1호선,P168
1005,대방,1호선,137
1715,세류,1호선,P156
1716,병점,1호선,P157
1718,오산대,1호선,P159
1750,광명,1호선,P144-1
1803,역곡,1호선,146
1007,신도림,1호선,140
1706,안양,1호선,P147
1015,회기,1호선,123
1707,명학,1호선,P148
1804,부천,1호선,148
159,동묘앞,1호선,127
1002,남영,1호선,134
1701,구로,1호선,141
1724,평택,1호선,P165
1725,성환,1호선,P166
1806,부평,1호선,152
1807,백운,1호선,153
1810,제물포,1호선,158
1811,동인천,1호선,160
1817,도원,1호선,159
1822,중동,1호선,149
1823,도화,1호선,157
1022,창동,1호선,116
1408,신창,1호선,P177
1702,가산디지털단지,1호선,P142
1703,금천구청,1호선,P144
1704,석수,1호선,P145
1711,성균관대,1호선,P153
1713,수원,1호선,P155
1723,평택지제,1호선,P164
1401,봉명,1호선,P170
1403,아산,1호선,P172
1003,용산,1호선,135
1004,노량진,1호선,136
1016,외대앞,1호선,122
1019,광운대,1호선,119
1020,월계,1호선,118
1032,신길,1호선,138
1402,쌍용,1호선,P171
1006,영등포,1호선,139
1407,온양온천,1호선,P176
1729,당정,1호선,P151
1904,망월사,1호선,112
1021,녹천,1호선,117
1710,의왕,1호선,P152
1722,서정리,1호선,P163
1813,구일,1호선,142
1903,도봉산,1호선,113
1717,세마,1호선,P158
1728,천안,1호선,P169
1705,관악,1호선,P146
1726,직산,1호선,P167
1802,오류동,1호선,144
1815,부개,1호선,151
1821,온수,1호선,145
1709,군포,1호선,P150
1712,화서,1호선,P154
1805,송내,1호선,150
1812,인천,1호선,161
1814,소사,1호선,147
1816,간석,1호선,155
1913,동두천중앙,1호선,103
1916,소요산,1호선,100
1918,전곡,1호선,100-2
1801,개봉,1호선,143
1902,도봉,1호선,114
1907,가능,1호선,109
1917,청산,1호선,100-1
1708,금정,1호선,P149
1808,동암,1호선,154
1919,연천,1호선,100-3
1719,오산,1호선,P160
1749,서동탄,1호선,P157-1
1809,주안,1호선,156
1910,덕계,1호선,106
1915,동두천,1호선,101
1901,방학,1호선,115
1911,덕정,1호선,105
1914,보산,1호선,102
1905,회룡,1호선,111
1906,의정부,1호선,110
1908,녹양,1호선,108
1909,양주,1호선,107
1912,지행,1호선,104
150,서울역,1호선,133
151,시청,1호선,132
152,종각,1호선,131
153,종로3가,1호선,130
154,종로5가,1호선,129
155,동대문,1호선,128
156,신설동,1호선,126
157,제기동,1호선,125
158,청량리,1호선,124
1720,진위,1호선,P161
228,서울대입구,2호선,228
209,한양대,2호선,209
234,신도림,2호선,234
242,아현,2호선,242
229,봉천,2호선,229
243,충정로,2호선,243
244,용답,2호선,211-1
235,문래,2호선,235
217,잠실새내,2호선,217
230,신림,2호선,230
218,종합운동장,2호선,218
219,삼성,2호선,219
231,신대방,2호선,231
236,영등포구청,2호선,236
248,양천구청,2호선,234-2
204,을지로4가,2호선,204
210,뚝섬,2호선,210
245,신답,2호선,211-2
202,을지로입구,2호선,202
226,사당,2호선,226
203,을지로3가,2호선,203
211,성수,2호선,211
212,건대입구,2호선,212
237,당산,2호선,237
249,신정네거리,2호선,234-3
213,구의,2호선,213
238,합정,2호선,238
250,용두,2호선,211-3
232,구로디지털단지,2호선,232
239,홍대입구,2호선,239
240,신촌,2호선,240
241,이대,2호선,241
246,신설동,2호선,211-4
247,도림천,2호선,234-1
200,까치산,2호선,234-4
201,시청,2호선,201
205,동대문역사문화공원,2호선,205
206,신당,2호선,206
207,상왕십리,2호선,207
214,강변,2호선,214
215,잠실나루,2호선,215
216,잠실,2호선,216
220,선릉,2호선,220
221,역삼,2호선,221
222,강남,2호선,222
223,교대,2호선,223
224,서초,2호선,224
225,방배,2호선,225
227,낙성대,2호선,227
208,왕십리,2호선,208
233,대림,2호선,233
318,안국,3호선,328
321,충무로,3호선,331
320,을지로3가,3호선,330
333,매봉,3호선,343
322,동대입구,3호선,332
335,대치,3호선,345
336,학여울,3호선,346
325,옥수,3호선,335
326,압구정,3호선,336
319,종로3가,3호선,329
327,신사,3호선,337
341,경찰병원,3호선,351
328,잠원,3호선,338
337,대청,3호선,347
342,오금,3호선,352
329,고속터미널,3호선,339
330,교대,3호선,340
331,남부터미널,3호선,341
338,일원,3호선,348
339,수서,3호선,349
340,가락시장,3호선,350
309,지축,3호선,319
310,구파발,3호선,320
311,연신내,3호선,321
312,불광,3호선,322
313,녹번,3호선,323
314,홍제,3호선,324
315,무악재,3호선,325
316,독립문,3호선,326
317,경복궁,3호선,327
324,금호,3호선,334
1952,화정,3호선,315
323,약수,3호선,333
334,도곡,3호선,344
332,양재,3호선,342
1950,삼송,3호선,318
1948,원흥,3호선,317
1955,마두,3호선,312
1953,대곡,3호선,314
1956,정발산,3호선,311
1951,원당,3호선,316
1957,주엽,3호선,310
1954,백석,3호선,313
1958,대화,3호선,309
1456,평촌,4호선,441
1763,수리산,4호선,445
419,한성대입구,4호선,419
421,동대문,4호선,421
424,명동,4호선,424
425,회현,4호선,425
414,수유,4호선,414
1755,한대앞,4호선,449
1454,정부과천청사,4호선,439
1757,고잔,4호선,451
1759,안산,4호선,453
411,노원,4호선,411
431,동작,4호선,431
1450,선바위,4호선,435
432,총신대입구,4호선,432
415,미아,4호선,415
427,숙대입구,4호선,427
1760,신길온천,4호선,454
420,혜화,4호선,420
1752,대야미,4호선,446
426,서울역,4호선,426
433,사당,4호선,433
434,남태령,4호선,434
1761,정왕,4호선,455
412,창동,4호선,412
422,동대문역사문화공원,4호선,422
1758,초지,4호선,452
1753,반월,4호선,447
1754,상록수,4호선,448
1451,경마공원,4호선,436
1452,대공원,4호선,437
1455,인덕원,4호선,440
416,미아사거리,4호선,416
423,충무로,4호선,423
428,삼각지,4호선,428
429,신용산,4호선,429
1762,오이도,4호선,456
405,진접,4호선,405
406,오남,4호선,406
408,별내별가람,4호선,408
409,불암산,4호선,409
410,상계,4호선,410
413,쌍문,4호선,413
417,길음,4호선,417
418,성신여대입구,4호선,418
430,이촌,4호선,430
1453,과천,4호선,438
1751,산본,4호선,444
1756,중앙,4호선,450
1458,금정,4호선,443
1457,범계,4호선,442
2527,여의도,5호선,526
2528,여의나루,5호선,527
2560,거여,5호선,P554
2523,양평,5호선,522
2529,마포,5호선,528
2533,서대문,5호선,532
2513,김포공항,5호선,512
2557,방이,5호선,P551
2512,개화산,5호선,511
2519,까치산,5호선,518
2525,영등포시장,5호선,524
2514,송정,5호선,513
2521,목동,5호선,520
2522,오목교,5호선,521
2538,청구,5호선,537
2548,천호,5호선,547
2546,아차산,5호선,545
2543,답십리,5호선,542
2564,하남풍산,5호선,556
2531,애오개,5호선,530
2554,상일동,5호선,553
2511,방화,5호선,510
2515,마곡,5호선,514
2516,발산,5호선,515
2517,우장산,5호선,516
2518,화곡,5호선,517
2520,신정,5호선,519
2524,영등포구청,5호선,523
2526,신길,5호선,525
2530,공덕,5호선,529
2532,충정로,5호선,531
2534,광화문,5호선,533
2535,종로3가,5호선,534
2536,을지로4가,5호선,535
2537,동대문역사문화공원,5호선,536
2539,신금호,5호선,538
2540,행당,5호선,539
2541,왕십리,5호선,540
2542,마장,5호선,541
2544,장한평,5호선,543
2545,군자,5호선,544
2547,광나루,5호선,546
2549,강동,5호선,548
2550,길동,5호선,549
2551,굽은다리,5호선,550
2552,명일,5호선,551
2553,고덕,5호선,552
2555,둔촌동,5호선,P549
2556,올림픽공원,5호선,P550
2558,오금,5호선,P552
2559,개롱,5호선,P553
2561,마천,5호선,P555
2562,강일,5호선,554
2565,하남시청,5호선,557
2566,하남검단산,5호선,558
2563,미사,5호선,555
2627,공덕,6호선,626
2649,신내,6호선,648
2613,불광,6호선,612
2616,구산,6호선,615
2620,월드컵경기장,6호선,619
2624,상수,6호선,623
2644,돌곶이,6호선,643
2646,태릉입구,6호선,645
2632,한강진,6호선,631
2611,응암,6호선,610
2612,역촌,6호선,611
2614,독바위,6호선,613
2615,연신내,6호선,614
2617,새절,6호선,616
2618,증산,6호선,617
2619,디지털미디어시티,6호선,618
2621,마포구청,6호선,620
2622,망원,6호선,621
2623,합정,6호선,622
2625,광흥창,6호선,624
2626,대흥,6호선,625
2628,효창공원앞,6호선,627
2629,삼각지,6호선,628
2630,녹사평,6호선,629
2631,이태원,6호선,630
2633,버티고개,6호선,632
2634,약수,6호선,633
2636,신당,6호선,635
2637,동묘앞,6호선,636
2638,창신,6호선,637
2639,보문,6호선,638
2640,안암,6호선,639
2641,고려대,6호선,640
2642,월곡,6호선,641
2643,상월곡,6호선,642
2645,석계,6호선,644
2648,봉화산,6호선,647
2647,화랑대,6호선,646
2635,청구,6호선,634
3759,삼산체육관,7호선,757
3760,굴포천,7호선,758
2731,청담,7호선,729
2749,철산,7호선,747
2751,천왕,7호선,749
2752,온수,7호선,750
2737,내방,7호선,735
2741,상도,7호선,739
2745,신풍,7호선,743
3753,까치울,7호선,751
3754,부천종합운동장,7호선,752
3755,춘의,7호선,753
3756,신중동,7호선,754
3757,부천시청,7호선,755
3758,상동,7호선,756
2717,하계,7호선,715
2718,공릉,7호선,716
2729,건대입구,7호선,727
3761,부평구청,7호선,759
3762,산곡,7호선,760
3763,석남,7호선,761
2724,사가정,7호선,722
2735,반포,7호선,733
2711,장암,7호선,709
2712,도봉산,7호선,710
2713,수락산,7호선,711
2714,마들,7호선,712
2715,노원,7호선,713
2716,중계,7호선,714
2719,태릉입구,7호선,717
2720,먹골,7호선,718
2721,중화,7호선,719
2722,상봉,7호선,720
2723,면목,7호선,721
2725,용마산,7호선,723
2726,중곡,7호선,724
2727,군자,7호선,725
2728,어린이대공원,7호선,726
2730,자양,7호선,728
2732,강남구청,7호선,730
2733,학동,7호선,731
2734,논현,7호선,732
2736,고속터미널,7호선,734
2738,이수,7호선,736
2739,남성,7호선,737
2740,숭실대입구,7호선,738
2742,장승배기,7호선,740
2743,신대방삼거리,7호선,741
2744,보라매,7호선,742
2746,대림,7호선,744
2747,남구로,7호선,745
2748,가산디지털단지,7호선,746
2750,광명사거리,7호선,748
2823,남한산성입구,8호선,823
2824,단대오거리,8호선,824
2825,신흥,8호선,825
2826,수진,8호선,826
2827,모란,8호선,827
2828,남위례,8호선,821
2822,산성,8호선,822
2805,별내,8호선,804
2806,다산,8호선,805
2807,동구릉,8호선,806
2808,구리,8호선,807
2809,장자호수공원,8호선,808
2810,암사역사공원,8호선,809
2811,암사,8호선,810
2812,천호,8호선,811
2813,강동구청,8호선,812
2814,몽촌토성,8호선,813
2815,잠실,8호선,814
2816,석촌,8호선,815
2817,송파,8호선,816
2818,가락시장,8호선,817
2819,문정,8호선,818
2820,장지,8호선,819
2821,복정,8호선,820
4121,구반포,9호선,921
4122,신반포,9호선,922
4106,양천향교,9호선,906
4107,가양,9호선,907
4116,샛강,9호선,916
4117,노량진,9호선,917
4119,흑석,9호선,919
4104,신방화,9호선,904
4105,마곡나루,9호선,905
4123,고속터미널,9호선,923
4124,사평,9호선,924
4118,노들,9호선,918
4125,신논현,9호선,925
4108,증미,9호선,908
4109,등촌,9호선,909
4110,염창,9호선,910
4111,신목동,9호선,911
4114,국회의사당,9호선,914
4115,여의도,9호선,915
4120,동작,9호선,920
4126,언주,9호선,926
4127,선정릉,9호선,927
4128,삼성중앙,9호선,928
4112,선유도,9호선,912
4113,당산,9호선,913
4101,개화,9호선,901
4102,김포공항,9호선,902
4103,공항시장,9호선,903
4129,봉은사,9호선,929
4130,종합운동장,9호선,930
4132,석촌고분,9호선,932
4133,석촌,9호선,933
4134,송파나루,9호선,934
4135,한성백제,9호선,935
4136,올림픽공원,9호선,936
4137,둔촌오륜,9호선,937
4138,중앙보훈병원,9호선,938
4131,삼전,9호선,931
