호선,역명,위도,경도
1호선,탕정,36.788250,127.084417
1호선,독산,37.465944,126.889500
1호선,신이문,37.598611,127.068611
1호선,석계,37.614720,127.065280
1호선,배방,36.777655,127.052956
1호선,송탄,37.080051,127.049814
1호선,두정,36.833992,127.149186
1호선,대방,37.513809,126.925924
1호선,세류,37.244111,127.013722
1호선,병점,37.206611,127.032352
1호선,오산대,37.168082,127.063089
1호선,광명,37.416436,126.884875
1호선,역곡,37.485258,126.859932
1호선,신도림,37.508844,126.891145
1호선,안양,37.401592,126.922874
1호선,회기,37.589066,127.057200
1호선,명학,37.384653,126.935733
1호선,부천,37.484122,126.782789
1호선,남영,37.541021,126.971300
1호선,구로,37.503039,126.881966
1호선,평택,36.990048,127.085290
1호선,성환,36.915790,127.127008
1호선,부평,37.489121,126.724447
1호선,백운,37.491091,126.724267
1호선,제물포,37.469598,126.656705
1호선,동인천,37.476538,126.632703
1호선,도원,37.468360,126.642773
1호선,중동,37.486947,126.764559
1호선,도화,37.466117,126.668264
1호선,창동,37.653740,127.047500
1호선,신창,36.769653,126.951081
1호선,가산디지털단지,37.481441,126.882654
1호선,금천구청,37.455652,126.894023
1호선,석수,37.435166,126.902246
1호선,성균관대,37.300352,126.970868
1호선,수원,37.266405,126.999944
1호선,평택지제,36.991964,127.112245
1호선,봉명,36.801430,127.135934
1호선,아산,36.780294,127.045712
1호선,용산,37.529653,126.964437
1호선,노량진,37.514079,126.941690
1호선,외대앞,37.596166,127.063589
1호선,광운대,37.623840,127.061679
1호선,월계,37.633125,127.058854
1호선,신길,37.517026,126.917757
1호선,쌍용,36.793573,127.119161
1호선,영등포,37.515768,126.907425
1호선,온양온천,36.780014,127.002817
1호선,당정,37.343254,126.948462
1호선,망월사,37.710504,127.047376
1호선,녹천,37.644608,127.051423
1호선,의왕,37.320661,126.948116
1호선,서정리,37.056496,127.052819
1호선,구일,37.496284,126.869620
1호선,도봉산,37.689598,127.046067
1호선,세마,37.187500,127.043330
1호선,천안,36.815580,127.113133
1호선,관악,37.419591,126.908494
1호선,직산,36.870273,127.126539
1호선,오류동,37.494411,126.844566
1호선,부개,37.488492,126.740570
1호선,온수,37.492274,126.823418
1호선,군포,37.353743,126.948536
1호선,화서,37.283996,126.989596
1호선,송내,37.487634,126.753057
1호선,인천,37.476380,126.616954
1호선,소사,37.482768,126.795674
1호선,간석,37.464698,126.693425
1호선,동두천중앙,37.901681,127.056427
1호선,소요산,38.103708,127.062106
1호선,전곡,38.031374,127.057136
1호선,개봉,37.494708,126.858516
1호선,도봉,37.679448,127.045539
1호선,가능,37.748366,127.044270
1호선,청산,38.075220,127.064575
1호선,금정,37.372223,126.943424
1호선,동암,37.470885,126.702904
1호선,연천,38.099686,127.074361
1호선,오산,37.145481,127.066723
1호선,서동탄,37.195681,127.051902
1호선,주안,37.465044,126.679967
1호선,덕계,37.818773,127.056699
1호선,동두천,37.927572,127.054846
1호선,방학,37.667482,127.044309
1호선,덕정,37.843219,127.061535
1호선,보산,37.914273,127.057154
1호선,회룡,37.724046,127.047339
1호선,의정부,37.737369,127.046129
1호선,녹양,37.759424,127.042289
1호선,양주,37.774293,127.044743
1호선,지행,37.892368,127.055762
1호선,서울역,37.555923,126.972269
1호선,진위,37.109780,127.062356
1호선,서울,37.55315,126.972533
1호선,시청,37.56359,126.975407
1호선,종각,37.570203,126.983116
1호선,종로3가,37.570429,126.992095
1호선,종로5가,37.570971,127.0019
1호선,동대문,37.57179,127.011383
1호선,동묘앞,37.573265,127.016459
1호선,신설동,37.576117,127.02471
1호선,제기동,37.578116,127.034902
1호선,청량리,37.580148,127.045063
2호선,을지로입구,37.565998,126.982569
2호선,을지로3가,37.566292,126.991773
2호선,을지로4가,37.566611,126.998122
2호선,동대문역사문화공원,37.565597,127.009113
2호선,신당,37.565681,127.019488
2호선,상왕십리,37.564504,127.028872
2호선,왕십리,37.561159,127.035505
2호선,한양대,37.55658,127.043504
2호선,뚝섬,37.54718,127.047413
2호선,성수,37.544628,127.055983
2호선,건대입구,37.540408,127.069231
2호선,구의,37.536857,127.085024
2호선,강변,37.535161,127.094684
2호선,잠실나루,37.520688,127.103836
2호선,잠실,37.513305,127.100129
2호선,잠실새내,37.520731,127.103738
2호선,종합운동장,37.511008,127.073641
2호선,삼성,37.508827,127.063203
2호선,선릉,37.504257,127.048174
2호선,역삼,37.500658,127.03643
2호선,강남,37.497958,127.027539
2호선,교대,37.493957,127.014631
2호선,서초,37.49191,127.007945
2호선,방배,37.481469,126.997627
2호선,사당,37.476536,126.981631
2호선,낙성대,37.47693,126.963783
2호선,서울대입구,37.481233,126.952745
2호선,봉천,37.482416,126.941896
2호선,신림,37.484216,126.929573
2호선,신대방,37.487534,126.913279
2호선,구로디지털단지,37.485005,126.902626
2호선,대림,37.492426,126.895293
2호선,신도림,37.508815,126.891222
2호선,문래,37.517993,126.894766
2호선,영등포구청,37.525766,126.896627
2호선,당산,37.533877,126.902011
2호선,합정,37.550025,126.914557
2호선,홍대입구,37.556748,126.923643
2호선,신촌,37.555153,126.93689
2호선,이대,37.556734,126.945897
2호선,아현,37.557407,126.956079
2호선,충정로,37.559742,126.964455
2호선,시청,37.563534,126.975271
2호선,신설동,37.574653,127.025158
2호선,용두,37.574012,127.03811
2호선,신답,37.56147,127.056348
2호선,용답,37.566412,126.977863
2호선,도림천,37.514759,126.882586
2호선,양천구청,37.512194,126.865193
2호선,신정네거리,37.520218,126.852849
2호선,까치산,37.53181,126.846706
3호선,화정,37.563408,126.826756
3호선,삼송,37.618632,126.875156
3호선,마두,37.627723,126.783576
3호선,대곡,37.657506,126.826763
3호선,정발산,37.651565,126.773977
3호선,원당,37.650894,126.735599
3호선,주엽,37.649486,126.768455
3호선,백석,37.657997,126.770375
3호선,대화,37.655613,126.771550
3호선,원흥,37.650719,126.873258
3호선,지축,37.648281,126.912551
3호선,구파발,37.636612,126.918827
3호선,연신내,37.618855,126.920859
3호선,불광,37.610554,126.929843
3호선,녹번,37.600882,126.935758
3호선,홍제,37.588851,126.944092
3호선,무악재,37.582658,126.950131
3호선,독립문,37.574534,126.957902
3호선,경복궁,37.575844,126.973576
3호선,안국,37.576562,126.98547
3호선,종로3가,37.571537,126.991237
3호선,을지로3가,37.566299,126.992616
3호선,충무로,37.561302,126.995473
3호선,동대입구,37.55816,127.005273
3호선,약수,37.554674,127.010628
3호선,금호,37.548269,127.015785
3호선,옥수,37.541653,127.017303
3호선,압구정,37.526169,127.028502
3호선,신사,37.516438,127.020247
3호선,잠원,37.512989,127.011613
3호선,고속터미널,37.504953,127.004916
3호선,교대,37.49306,127.013796
3호선,남부터미널,37.48494,127.016289
3호선,양재,37.48466,127.03513
3호선,매봉,37.487114,127.046907
3호선,도곡,37.491129,127.055694
3호선,대치,37.494601,127.063449
3호선,학여울,37.496757,127.070541
3호선,대청,37.493607,127.079526
3호선,일원,37.48389,127.08416
3호선,수서,37.487507,127.101324
3호선,가락시장,37.492368,127.118101
3호선,경찰병원,37.495754,127.124198
3호선,오금,37.502288,127.128344
4호선,수리산,37.382160,126.954097
4호선,정부과천청사,37.425756,126.986590
4호선,초지,37.353272,126.748621
4호선,반월,37.322650,126.751227
4호선,상록수,37.318642,126.743588
4호선,경마공원,37.621410,127.099091
4호선,대공원,37.578059,127.004859
4호선,진접,37.777794,127.155747
4호선,오남,37.785193,127.168389
4호선,별내별가람,37.722883,127.132917
4호선,불암산,37.687575,127.083572
4호선,과천,37.427564,126.986097
4호선,중앙,37.377496,126.946830
4호선,금정,37.372223,126.943424
4호선,범계,37.382945,126.958320
4호선,평촌,37.394297,126.963847
4호선,한대앞,37.309269,126.853178
4호선,고잔,37.316628,126.805547
4호선,안산,37.327220,126.788330
4호선,선바위,37.451861,127.002139
4호선,신길온천,37.337472,126.767250
4호선,대야미,37.328330,126.917220
4호선,정왕,37.351828,126.742855
4호선,인덕원,37.391222,126.979588
4호선,오이도,37.361783,126.738456
4호선,산본,37.360176,126.956939
4호선,당고개,37.66956,127.078404
4호선,상계,37.660576,127.073199
4호선,노원,37.656274,127.063183
4호선,창동,37.652993,127.046746
4호선,쌍문,37.648274,127.034381
4호선,수유,37.637127,127.024731
4호선,미아,37.626435,127.026151
4호선,미아사거리,37.613276,127.030083
4호선,길음,37.604087,127.025353
4호선,성신여대입구,37.592782,127.017338
4호선,한성대입구,37.58838,127.006751
4호선,혜화,37.582116,127.001759
4호선,동대문,37.5708397,127.009403
4호선,동대문역사문화공원,37.565083,127.007645
4호선,충무로,37.561302,126.995473
4호선,명동,37.561055,126.988271
4호선,회현,37.559698,126.979565
4호선,서울,37.553172,126.972836
4호선,숙대입구,37.545124,126.971952
4호선,삼각지,37.535057,126.973354
4호선,신용산,37.52919,126.96858
4호선,이촌,37.522525,126.97335
4호선,동작,37.503567,126.980171
4호선,총신대입구,37.487521,126.982309
4호선,사당,37.476563,126.981746
4호선,남태령,37.464339,126.989081
4호선,서울역,37.555134,126.972245
5호선,방화,37.577669,126.812822
5호선,개화산,37.572458,126.806838
5호선,김포공항,37.56217,126.801273
5호선,송정,37.561411,126.812052
5호선,마곡,37.562182,126.82693
5호선,발산,37.562182,126.82693
5호선,우장산,37.548864,126.83633
5호선,화곡,37.541585,126.840436
5호선,까치산,37.53181,126.846706
5호선,신정,37.525001,126.856176
5호선,목동,37.526088,126.864296
5호선,오목교,37.524557,126.875049
5호선,양평,37.525614,126.886177
5호선,영등포구청,37.524209,126.895022
5호선,영등포시장,37.52276,126.905143
5호선,신길,37.51763,126.914886
5호선,여의도,37.521578,126.924318
5호선,여의나루,37.527145,126.932807
5호선,마포,37.539718,126.946043
5호선,공덕,37.544005,126.951058
5호선,애오개,37.553592,126.956733
5호선,충정로,37.560061,126.962783
5호선,서대문,37.565812,126.966639
5호선,광화문,37.570545,126.976568
5호선,종로3가,37.572546,126.990447
5호선,을지로4가,37.56658,126.998127
5호선,동대문역사문화공원,37.564682,127.00533
5호선,청구,37.560237,127.01379
5호선,신금호,37.554504,127.020403
5호선,행당,37.557297,127.029482
5호선,왕십리,37.56197,127.037264
5호선,마장,37.566066,127.042921
5호선,답십리,37.566833,127.05266
5호선,장한평,37.561438,127.064601
5호선,군자,37.557102,127.079559
5호선,아차산,37.552005,127.089609
5호선,광나루,37.545301,127.103478
5호선,천호,37.538566,127.123539
5호선,강동,37.53581,127.13249
5호선,길동,37.538022,127.140085
5호선,굽은다리,37.545442,127.142844
5호선,명일,37.551317,127.144002
5호선,고덕,37.555002,127.154214
5호선,상일동,37.556714,127.166381
5호선,둔촌동,37.527787,127.136219
5호선,올림픽공원,37.516217,127.130957
5호선,방이,37.508752,127.126054
5호선,오금,37.502228,127.127701
5호선,개롱,37.498097,127.134817
5호선,거여,37.493208,127.143983
5호선,마천,37.494972,127.152784
5호선,강일,37.557521,127.176018
5호선,미사,37.56329,127.192954
5호선,하남풍산,37.552201,127.203897
5호선,하남시청,37.541723,127.206901
5호선,하남검단산,37.539729,127.223427
6호선,응암,37.59859,126.915583
6호선,역촌,37.60605,126.922764
6호선,불광,37.610919,126.929504
6호선,독바위,37.618413,126.933035
6호선,연신내,37.618596,126.920519
6호선,구산,37.611223,126.917246
6호선,새절,37.591148,126.913613
6호선,증산,37.583989,126.909785
6호선,디지털미디어시티,37.577005,126.898643
6호선,월드컵경기장,37.569439,126.899077
6호선,마포구청,37.563535,126.903326
6호선,망원,37.556031,126.910129
6호선,합정,37.549033,126.913546
6호선,상수,37.547704,126.92292
6호선,광흥창,37.547464,126.931971
6호선,대흥,37.547732,126.942214
6호선,공덕,37.543592,126.951664
6호선,효창공원앞,37.539279,126.961348
6호선,삼각지,37.535563,126.973996
6호선,녹사평,37.53469,126.98665
6호선,이태원,37.534485,126.994369
6호선,한강진,37.53956,127.001729
6호선,버티고개,37.547933,127.006948
6호선,약수,37.554087,127.010237
6호선,청구,37.560221,127.013776
6호선,신당,37.566174,127.016158
6호선,동묘앞,37.572275,127.015666
6호선,창신,37.579772,127.015246
6호선,보문,37.585293,127.019377
6호선,안암,37.586261,127.02903
6호선,고려대,37.59034,127.03626
6호선,월곡,37.60192,127.041492
6호선,상월곡,37.606392,127.048509
6호선,돌곶이,37.610522,127.056419
6호선,석계,37.614937,127.065922
6호선,태릉입구,37.617319,127.074741
6호선,화랑대,37.619875,127.084106
6호선,봉화산,37.617293,127.091375
6호선,신내,37.612571,127.104326
7호선,삼산체육관,37.381578,126.830020
7호선,굴포천,37.408863,126.767391
7호선,부천종합운동장,37.503133,126.771027
7호선,춘의,37.503136,126.783658
7호선,신중동,37.503141,126.757789
7호선,부천시청,37.503145,126.790233
7호선,상동,37.503150,126.799501
7호선,부평구청,37.507948,126.723420
7호선,산곡,37.506245,126.716879
7호선,석남,37.512599,126.707195
7호선,자양,37.537525,127.068794
7호선,이수,37.483782,126.981420
7호선,까치울,37.506236,126.810950
7호선,장암,37.70015,127.053126
7호선,도봉산,37.689131,127.046548
7호선,수락산,37.677804,127.055314
7호선,마들,37.664985,127.057701
7호선,노원,37.654478,127.060555
7호선,중계,37.645052,127.064084
7호선,하계,37.636363,127.067999
7호선,공릉,37.625642,127.072969
7호선,태릉입구,37.617319,127.074741
7호선,먹골,37.610638,127.077719
7호선,중화,37.602604,127.079254
7호선,상봉,37.595673,127.085708
7호선,면목,37.588671,127.087503
7호선,사가정,37.580912,127.088502
7호선,용마산,37.573752,127.086802
7호선,중곡,37.565877,127.084291
7호선,군자,37.557151,127.079484
7호선,어린이대공원,37.547962,127.07465
7호선,건대입구,37.540882,127.071103
7호선,뚝섬유원지,37.531558,127.066714
7호선,청담,37.519097,127.051851
7호선,강남구청,37.517185,127.04122
7호선,학동,37.514262,127.031738
7호선,논현,37.511108,127.021385
7호선,반포,37.508171,127.011717
7호선,고속터미널,37.503387,127.005055
7호선,내방,37.48764,126.993541
7호선,총신대입구,37.485258,126.981766
7호선,남성,37.484688,126.971108
7호선,숭실대입구,37.496258,126.953649
7호선,상도,37.50279,126.947949
7호선,장승배기,37.504845,126.939025
7호선,신대방삼거리,37.499717,126.928218
7호선,보라매,37.499916,126.920112
7호선,신풍,37.500107,126.909806
7호선,대림,37.492984,126.896997
7호선,남구로,37.486181,126.887372
7호선,가산디지털단지,37.480376,126.882704
7호선,철산,37.47616,126.868217
7호선,광명사거리,37.47927,126.854854
7호선,천왕,37.486699,126.838684
7호선,온수,37.492059,126.823294
8호선,암사,37.550127,127.127521
8호선,천호,37.53792,127.123179
8호선,강동구청,37.530348,127.120461
8호선,몽촌토성,37.517692,127.11274
8호선,잠실,37.514649,127.104267
8호선,석촌,37.505396,127.106995
8호선,송파,37.49978,127.11212
8호선,가락시장,37.493004,127.118279
8호선,문정,37.485931,127.122473
8호선,장지,37.478609,127.126229
8호선,복정,37.471016,127.126746
8호선,남위례,37.462839,127.139047
8호선,산성,37.456886,127.149927
8호선,남한산성입구,37.451568,127.159845
8호선,단대오거리,37.445057,127.156735
8호선,신흥,37.440952,127.14759
8호선,수진,37.437575,127.140936
8호선,모란,37.433888,127.129921
8호선,별내,37.642620,127.127151
8호선,다산,37.633479,127.139881
8호선,동구릉,37.639011,127.209401
8호선,구리,37.594436,127.128417
8호선,장자호수공원,37.603372,127.142725
8호선,암사역사공원,37.550498,127.114712